id,sku,name,categoryId,description,tags,isSerialized,isLotManaged,shelfLifeDays,hazardousMaterial,isActive,createdAt
,TEC-COM-0022,"Portable USB Hub 0022",Computers & Laptops,"TechPro portable usb hub for professional use","usb-hub,computers-&-laptops",false,false,,false,true,
,SMA-SMA-0023,"High-performance Power Bank 0023",Smartphones,"SmartChoice high-performance power bank for professional use","power-bank,smartphones",false,false,,false,true,
,MAX-AUD-0024,"Premium Mixer 0024",Audio & Video,"MaxValue premium mixer for professional use","mixer,audio-&-video",false,false,,false,true,
,MAX-NET-0025,"Professional Router 0025",Networking,"MaxValue professional router for professional use","router,networking",false,false,,false,true,
,UNI-OFF-0026,"Premium Pen Set 0026",Office Supplies,"UniSupply premium pen set for professional use","pen-set,office-supplies",false,false,,false,true,
,COR-PRI-0027,"Advanced Printer Paper 0027",Printers & Ink,"CoreTech advanced printer paper for professional use","printer-paper,printers-&-ink",false,false,,false,true,
,PRI-FUR-0028,"Premium Filing Cabinet 0028",Furniture,"PrimeParts premium filing cabinet for professional use","filing-cabinet,furniture",false,false,,false,true,
,ELI-CLO-0029,"Premium Polo Shirt 0029",Clothing & Apparel,"EliteBrand premium polo shirt for professional use","polo-shirt,clothing-&-apparel",false,false,,false,true,
,UNI-MEN-0030,"Compact Men Trousers 0030",Men's Clothing,"UniSupply compact men trousers for professional use","men-trousers,men's-clothing",false,false,,false,true,
,MAX-WOM-0031,"Wireless Women Coat 0031",Women's Clothing,"MaxValue wireless women coat for professional use","women-coat,women's-clothing",false,false,,false,true,
,QUI-FOO-0032,"Eco-friendly Flour Bag 0032",Food & Beverages,"QuickSupply eco-friendly flour bag for professional use","flour-bag,food-&-beverages",false,true,471,false,true,
,PRO-BEV-0033,"Standard Mineral Water 0033",Beverages,"ProMax standard mineral water for professional use","mineral-water,beverages",false,true,679,false,true,
,QUI-SNA-0034,"Premium Granola Bar 0034",Snacks,"QuickSupply premium granola bar for professional use","granola-bar,snacks",false,true,491,false,true,
,GLO-TOO-0035,"Multi-purpose Wrench 0035",Tools & Hardware,"GlobalMart multi-purpose wrench for professional use","wrench,tools-&-hardware",false,false,,false,true,
,UNI-POW-0036,"Smart Jigsaw 0036",Power Tools,"UniSupply smart jigsaw for professional use","jigsaw,power-tools",false,false,,false,true,
,PRO-SAF-0037,"Industrial Hi-Vis Vest 0037",Safety Equipment,"ProMax industrial hi-vis vest for professional use","hi-vis-vest,safety-equipment",false,false,,false,true,
,COR-MED-0038,"Premium Thermometer 0038",Medical Supplies,"CoreTech premium thermometer for professional use","thermometer,medical-supplies",false,true,589,false,true,
,ELI-CLE-0039,"Wireless Glass Cleaner 0039",Cleaning Products,"EliteBrand wireless glass cleaner for professional use","glass-cleaner,cleaning-products",false,false,,true,true,
,TEC-AUT-0040,"Industrial Tyre Gauge 0040",Automotive,"TechPro industrial tyre gauge for professional use","tyre-gauge,automotive",false,false,,true,true,
,UNI-ELE-0041,"Professional Sensor 0041",Electronics,"UniSupply professional sensor for professional use","sensor,electronics",false,false,,false,true,
,SMA-COM-0042,"Premium Desktop PC 0042",Computers & Laptops,"SmartChoice premium desktop pc for professional use","desktop-pc,computers-&-laptops",false,false,,false,true,
,ELI-SMA-0043,"Portable Case 0043",Smartphones,"EliteBrand portable case for professional use","case,smartphones",false,false,,false,true,
,PRO-AUD-0044,"Digital Webcam 0044",Audio & Video,"ProMax digital webcam for professional use","webcam,audio-&-video",false,false,,false,true,
,SMA-NET-0045,"Industrial SFP Module 0045",Networking,"SmartChoice industrial sfp module for professional use","sfp-module,networking",false,false,,false,true,
,QUI-OFF-0046,"Advanced Scissors 0046",Office Supplies,"QuickSupply advanced scissors for professional use","scissors,office-supplies",false,false,,false,true,
,COR-PRI-0047,"Heavy Duty Fuser Kit 0047",Printers & Ink,"CoreTech heavy duty fuser kit for professional use","fuser-kit,printers-&-ink",false,false,,false,true,
,UNI-FUR-0048,"Advanced Whiteboard 0048",Furniture,"UniSupply advanced whiteboard for professional use","whiteboard,furniture",false,false,,false,true,
,COR-CLO-0049,"Standard T-Shirt 0049",Clothing & Apparel,"CoreTech standard t-shirt for professional use","t-shirt,clothing-&-apparel",false,false,,false,true,
,GLO-MEN-0050,"High-performance Men Suit 0050",Men's Clothing,"GlobalMart high-performance men suit for professional use","men-suit,men's-clothing",false,false,,false,true,
,SMA-WOM-0051,"Premium Women Skirt 0051",Women's Clothing,"SmartChoice premium women skirt for professional use","women-skirt,women's-clothing",false,false,,false,true,
,TEC-FOO-0052,"Digital Cereal Box 0052",Food & Beverages,"TechPro digital cereal box for professional use","cereal-box,food-&-beverages",false,true,313,false,true,
,PRI-BEV-0053,"Multi-purpose Energy Drink 0053",Beverages,"PrimeParts multi-purpose energy drink for professional use","energy-drink,beverages",false,true,683,false,true,
,COR-SNA-0054,"Professional Popcorn 0054",Snacks,"CoreTech professional popcorn for professional use","popcorn,snacks",false,true,111,false,true,
,PRI-TOO-0055,"Compact Utility Knife 0055",Tools & Hardware,"PrimeParts compact utility knife for professional use","utility-knife,tools-&-hardware",false,false,,false,true,
,MAX-POW-0056,"Ultra Air Compressor 0056",Power Tools,"MaxValue ultra air compressor for professional use","air-compressor,power-tools",false,false,,false,true,
,QUI-SAF-0057,"Compact Safety Helmet 0057",Safety Equipment,"QuickSupply compact safety helmet for professional use","safety-helmet,safety-equipment",false,false,,false,true,
,UNI-MED-0058,"Compact Face Mask 0058",Medical Supplies,"UniSupply compact face mask for professional use","face-mask,medical-supplies",false,true,43,false,true,
,PRI-CLE-0059,"Heavy Duty Mop Set 0059",Cleaning Products,"PrimeParts heavy duty mop set for professional use","mop-set,cleaning-products",false,false,,true,true,
,COR-AUT-0060,"Industrial Brake Pads 0060",Automotive,"CoreTech industrial brake pads for professional use","brake-pads,automotive",false,false,,true,true,
,UNI-ELE-0061,"Digital Cable 0061",Electronics,"UniSupply digital cable for professional use","cable,electronics",false,false,,false,true,
,QUI-COM-0062,"High-performance USB Hub 0062",Computers & Laptops,"QuickSupply high-performance usb hub for professional use","usb-hub,computers-&-laptops",false,false,,false,true,
,SMA-SMA-0063,"Professional Power Bank 0063",Smartphones,"SmartChoice professional power bank for professional use","power-bank,smartphones",false,false,,false,true,
,SMA-AUD-0064,"Industrial Mixer 0064",Audio & Video,"SmartChoice industrial mixer for professional use","mixer,audio-&-video",false,false,,false,true,
,QUI-NET-0065,"Heavy Duty Router 0065",Networking,"QuickSupply heavy duty router for professional use","router,networking",false,false,,false,true,
,COR-OFF-0066,"Premium Pen Set 0066",Office Supplies,"CoreTech premium pen set for professional use","pen-set,office-supplies",false,false,,false,true,
,GLO-PRI-0067,"Compact Printer Paper 0067",Printers & Ink,"GlobalMart compact printer paper for professional use","printer-paper,printers-&-ink",false,false,,false,true,
,PRI-FUR-0068,"Digital Filing Cabinet 0068",Furniture,"PrimeParts digital filing cabinet for professional use","filing-cabinet,furniture",false,false,,false,true,
,GLO-CLO-0069,"High-performance Polo Shirt 0069",Clothing & Apparel,"GlobalMart high-performance polo shirt for professional use","polo-shirt,clothing-&-apparel",false,false,,false,true,
,COR-MEN-0070,"Wireless Men Trousers 0070",Men's Clothing,"CoreTech wireless men trousers for professional use","men-trousers,men's-clothing",false,false,,false,true,
,UNI-WOM-0071,"Compact Women Coat 0071",Women's Clothing,"UniSupply compact women coat for professional use","women-coat,women's-clothing",false,false,,false,true,
,COR-FOO-0072,"Eco-friendly Flour Bag 0072",Food & Beverages,"CoreTech eco-friendly flour bag for professional use","flour-bag,food-&-beverages",false,true,147,false,true,
,GLO-BEV-0073,"Multi-purpose Mineral Water 0073",Beverages,"GlobalMart multi-purpose mineral water for professional use","mineral-water,beverages",false,true,307,false,true,
,ELI-SNA-0074,"Eco-friendly Granola Bar 0074",Snacks,"EliteBrand eco-friendly granola bar for professional use","granola-bar,snacks",false,true,716,false,true,
,PRO-TOO-0075,"Wireless Wrench 0075",Tools & Hardware,"ProMax wireless wrench for professional use","wrench,tools-&-hardware",false,false,,false,true,
,ELI-POW-0076,"Ultra Jigsaw 0076",Power Tools,"EliteBrand ultra jigsaw for professional use","jigsaw,power-tools",false,false,,false,true,
,PRO-SAF-0077,"Compact Hi-Vis Vest 0077",Safety Equipment,"ProMax compact hi-vis vest for professional use","hi-vis-vest,safety-equipment",false,false,,false,true,
,SMA-MED-0078,"Industrial Thermometer 0078",Medical Supplies,"SmartChoice industrial thermometer for professional use","thermometer,medical-supplies",false,true,496,false,true,
,UNI-CLE-0079,"Digital Glass Cleaner 0079",Cleaning Products,"UniSupply digital glass cleaner for professional use","glass-cleaner,cleaning-products",false,false,,true,true,
,PRI-AUT-0080,"Eco-friendly Tyre Gauge 0080",Automotive,"PrimeParts eco-friendly tyre gauge for professional use","tyre-gauge,automotive",false,false,,true,true,
,SMA-ELE-0081,"Eco-friendly Sensor 0081",Electronics,"SmartChoice eco-friendly sensor for professional use","sensor,electronics",false,false,,false,true,
,QUI-COM-0082,"Standard Desktop PC 0082",Computers & Laptops,"QuickSupply standard desktop pc for professional use","desktop-pc,computers-&-laptops",false,false,,false,true,
,GLO-SMA-0083,"High-performance Case 0083",Smartphones,"GlobalMart high-performance case for professional use","case,smartphones",false,false,,false,true,
,COR-AUD-0084,"Heavy Duty Webcam 0084",Audio & Video,"CoreTech heavy duty webcam for professional use","webcam,audio-&-video",false,false,,false,true,
,GLO-NET-0085,"Compact SFP Module 0085",Networking,"GlobalMart compact sfp module for professional use","sfp-module,networking",false,false,,false,true,
,GLO-OFF-0086,"Wireless Scissors 0086",Office Supplies,"GlobalMart wireless scissors for professional use","scissors,office-supplies",false,false,,false,true,
,SMA-PRI-0087,"Professional Fuser Kit 0087",Printers & Ink,"SmartChoice professional fuser kit for professional use","fuser-kit,printers-&-ink",false,false,,false,true,
,UNI-FUR-0088,"Standard Whiteboard 0088",Furniture,"UniSupply standard whiteboard for professional use","whiteboard,furniture",false,false,,false,true,
,UNI-CLO-0089,"Eco-friendly T-Shirt 0089",Clothing & Apparel,"UniSupply eco-friendly t-shirt for professional use","t-shirt,clothing-&-apparel",false,false,,false,true,
,PRO-MEN-0090,"Multi-purpose Men Suit 0090",Men's Clothing,"ProMax multi-purpose men suit for professional use","men-suit,men's-clothing",false,false,,false,true,
,PRI-WOM-0091,"Premium Women Skirt 0091",Women's Clothing,"PrimeParts premium women skirt for professional use","women-skirt,women's-clothing",false,false,,false,true,
,QUI-FOO-0092,"Compact Cereal Box 0092",Food & Beverages,"QuickSupply compact cereal box for professional use","cereal-box,food-&-beverages",false,true,698,false,true,
,UNI-BEV-0093,"Advanced Energy Drink 0093",Beverages,"UniSupply advanced energy drink for professional use","energy-drink,beverages",false,true,385,false,true,
,PRO-SNA-0094,"Digital Popcorn 0094",Snacks,"ProMax digital popcorn for professional use","popcorn,snacks",false,true,316,false,true,
,GLO-TOO-0095,"Industrial Utility Knife 0095",Tools & Hardware,"GlobalMart industrial utility knife for professional use","utility-knife,tools-&-hardware",false,false,,false,true,
,COR-POW-0096,"Smart Air Compressor 0096",Power Tools,"CoreTech smart air compressor for professional use","air-compressor,power-tools",false,false,,false,true,
,ELI-SAF-0097,"Ultra Safety Helmet 0097",Safety Equipment,"EliteBrand ultra safety helmet for professional use","safety-helmet,safety-equipment",false,false,,false,true,
,GLO-MED-0098,"Multi-purpose Face Mask 0098",Medical Supplies,"GlobalMart multi-purpose face mask for professional use","face-mask,medical-supplies",false,true,669,false,true,
,PRI-CLE-0099,"Portable Mop Set 0099",Cleaning Products,"PrimeParts portable mop set for professional use","mop-set,cleaning-products",false,false,,true,true,
,COR-AUT-0100,"Professional Brake Pads 0100",Automotive,"CoreTech professional brake pads for professional use","brake-pads,automotive",false,false,,true,true,
,SMA-ELE-0101,"Eco-friendly Cable 0101",Electronics,"SmartChoice eco-friendly cable for professional use","cable,electronics",false,false,,false,true,
,GLO-COM-0102,"Eco-friendly USB Hub 0102",Computers & Laptops,"GlobalMart eco-friendly usb hub for professional use","usb-hub,computers-&-laptops",false,false,,false,true,
,TEC-SMA-0103,"Ultra Power Bank 0103",Smartphones,"TechPro ultra power bank for professional use","power-bank,smartphones",false,false,,false,true,
,GLO-AUD-0104,"Industrial Mixer 0104",Audio & Video,"GlobalMart industrial mixer for professional use","mixer,audio-&-video",false,false,,false,true,
,PRO-NET-0105,"Premium Router 0105",Networking,"ProMax premium router for professional use","router,networking",false,false,,false,true,
,TEC-OFF-0106,"Standard Pen Set 0106",Office Supplies,"TechPro standard pen set for professional use","pen-set,office-supplies",false,false,,false,true,
,TEC-PRI-0107,"Ultra Printer Paper 0107",Printers & Ink,"TechPro ultra printer paper for professional use","printer-paper,printers-&-ink",false,false,,false,true,
,QUI-FUR-0108,"Professional Filing Cabinet 0108",Furniture,"QuickSupply professional filing cabinet for professional use","filing-cabinet,furniture",false,false,,false,true,
,PRO-CLO-0109,"Heavy Duty Polo Shirt 0109",Clothing & Apparel,"ProMax heavy duty polo shirt for professional use","polo-shirt,clothing-&-apparel",false,false,,false,true,
,PRO-MEN-0110,"Multi-purpose Men Trousers 0110",Men's Clothing,"ProMax multi-purpose men trousers for professional use","men-trousers,men's-clothing",false,false,,false,true,
,ELI-WOM-0111,"Premium Women Coat 0111",Women's Clothing,"EliteBrand premium women coat for professional use","women-coat,women's-clothing",false,false,,false,true,
,ELI-FOO-0112,"Advanced Flour Bag 0112",Food & Beverages,"EliteBrand advanced flour bag for professional use","flour-bag,food-&-beverages",false,true,148,false,true,
,UNI-BEV-0113,"Eco-friendly Mineral Water 0113",Beverages,"UniSupply eco-friendly mineral water for professional use","mineral-water,beverages",false,true,419,false,true,
,QUI-SNA-0114,"Multi-purpose Granola Bar 0114",Snacks,"QuickSupply multi-purpose granola bar for professional use","granola-bar,snacks",false,true,470,false,true,
,TEC-TOO-0115,"Smart Wrench 0115",Tools & Hardware,"TechPro smart wrench for professional use","wrench,tools-&-hardware",false,false,,false,true,
,PRO-POW-0116,"Eco-friendly Jigsaw 0116",Power Tools,"ProMax eco-friendly jigsaw for professional use","jigsaw,power-tools",false,false,,false,true,
,PRI-SAF-0117,"Standard Hi-Vis Vest 0117",Safety Equipment,"PrimeParts standard hi-vis vest for professional use","hi-vis-vest,safety-equipment",false,false,,false,true,
,PRI-MED-0118,"Heavy Duty Thermometer 0118",Medical Supplies,"PrimeParts heavy duty thermometer for professional use","thermometer,medical-supplies",false,true,358,false,true,
,UNI-CLE-0119,"Ultra Glass Cleaner 0119",Cleaning Products,"UniSupply ultra glass cleaner for professional use","glass-cleaner,cleaning-products",false,false,,true,true,
,PRI-AUT-0120,"Premium Tyre Gauge 0120",Automotive,"PrimeParts premium tyre gauge for professional use","tyre-gauge,automotive",false,false,,true,true,
,PRI-ELE-0121,"Smart Sensor 0121",Electronics,"PrimeParts smart sensor for professional use","sensor,electronics",false,false,,false,true,
,UNI-COM-0122,"Portable Desktop PC 0122",Computers & Laptops,"UniSupply portable desktop pc for professional use","desktop-pc,computers-&-laptops",false,false,,false,true,
,ELI-SMA-0123,"Portable Case 0123",Smartphones,"EliteBrand portable case for professional use","case,smartphones",false,false,,false,true,
,TEC-AUD-0124,"Premium Webcam 0124",Audio & Video,"TechPro premium webcam for professional use","webcam,audio-&-video",false,false,,false,true,
,PRO-NET-0125,"Compact SFP Module 0125",Networking,"ProMax compact sfp module for professional use","sfp-module,networking",false,false,,false,true,
,QUI-OFF-0126,"Ultra Scissors 0126",Office Supplies,"QuickSupply ultra scissors for professional use","scissors,office-supplies",false,false,,false,true,
,TEC-PRI-0127,"Portable Fuser Kit 0127",Printers & Ink,"TechPro portable fuser kit for professional use","fuser-kit,printers-&-ink",false,false,,false,true,
,MAX-FUR-0128,"Industrial Whiteboard 0128",Furniture,"MaxValue industrial whiteboard for professional use","whiteboard,furniture",false,false,,false,true,
,COR-CLO-0129,"Ultra T-Shirt 0129",Clothing & Apparel,"CoreTech ultra t-shirt for professional use","t-shirt,clothing-&-apparel",false,false,,false,true,
,MAX-MEN-0130,"Professional Men Suit 0130",Men's Clothing,"MaxValue professional men suit for professional use","men-suit,men's-clothing",false,false,,false,true,
,COR-WOM-0131,"Digital Women Skirt 0131",Women's Clothing,"CoreTech digital women skirt for professional use","women-skirt,women's-clothing",false,false,,false,true,
,COR-FOO-0132,"Ultra Cereal Box 0132",Food & Beverages,"CoreTech ultra cereal box for professional use","cereal-box,food-&-beverages",false,true,184,false,true,
,MAX-BEV-0133,"Ultra Energy Drink 0133",Beverages,"MaxValue ultra energy drink for professional use","energy-drink,beverages",false,true,675,false,true,
,MAX-SNA-0134,"Advanced Popcorn 0134",Snacks,"MaxValue advanced popcorn for professional use","popcorn,snacks",false,true,441,false,true,
,MAX-TOO-0135,"Portable Utility Knife 0135",Tools & Hardware,"MaxValue portable utility knife for professional use","utility-knife,tools-&-hardware",false,false,,false,true,
,QUI-POW-0136,"Advanced Air Compressor 0136",Power Tools,"QuickSupply advanced air compressor for professional use","air-compressor,power-tools",false,false,,false,true,
,GLO-SAF-0137,"Digital Safety Helmet 0137",Safety Equipment,"GlobalMart digital safety helmet for professional use","safety-helmet,safety-equipment",false,false,,false,true,
,UNI-MED-0138,"Standard Face Mask 0138",Medical Supplies,"UniSupply standard face mask for professional use","face-mask,medical-supplies",false,true,637,false,true,
,UNI-CLE-0139,"Wireless Mop Set 0139",Cleaning Products,"UniSupply wireless mop set for professional use","mop-set,cleaning-products",false,false,,true,true,
,MAX-AUT-0140,"Standard Brake Pads 0140",Automotive,"MaxValue standard brake pads for professional use","brake-pads,automotive",false,false,,true,true,
,MAX-ELE-0141,"Industrial Cable 0141",Electronics,"MaxValue industrial cable for professional use","cable,electronics",false,false,,false,true,
,UNI-COM-0142,"Premium USB Hub 0142",Computers & Laptops,"UniSupply premium usb hub for professional use","usb-hub,computers-&-laptops",false,false,,false,true,
,GLO-SMA-0143,"Eco-friendly Power Bank 0143",Smartphones,"GlobalMart eco-friendly power bank for professional use","power-bank,smartphones",false,false,,false,true,
,ELI-AUD-0144,"Industrial Mixer 0144",Audio & Video,"EliteBrand industrial mixer for professional use","mixer,audio-&-video",false,false,,false,true,
,PRI-NET-0145,"Standard Router 0145",Networking,"PrimeParts standard router for professional use","router,networking",false,false,,false,true,
,PRI-OFF-0146,"Heavy Duty Pen Set 0146",Office Supplies,"PrimeParts heavy duty pen set for professional use","pen-set,office-supplies",false,false,,false,true,
,PRI-PRI-0147,"Heavy Duty Printer Paper 0147",Printers & Ink,"PrimeParts heavy duty printer paper for professional use","printer-paper,printers-&-ink",false,false,,false,true,
,GLO-FUR-0148,"Eco-friendly Filing Cabinet 0148",Furniture,"GlobalMart eco-friendly filing cabinet for professional use","filing-cabinet,furniture",false,false,,false,true,
,QUI-CLO-0149,"Multi-purpose Polo Shirt 0149",Clothing & Apparel,"QuickSupply multi-purpose polo shirt for professional use","polo-shirt,clothing-&-apparel",false,false,,false,true,
,ELI-MEN-0150,"Wireless Men Trousers 0150",Men's Clothing,"EliteBrand wireless men trousers for professional use","men-trousers,men's-clothing",false,false,,false,true,
,PRI-WOM-0151,"Premium Women Coat 0151",Women's Clothing,"PrimeParts premium women coat for professional use","women-coat,women's-clothing",false,false,,false,true,
,GLO-FOO-0152,"Ultra Flour Bag 0152",Food & Beverages,"GlobalMart ultra flour bag for professional use","flour-bag,food-&-beverages",false,true,202,false,true,
,PRO-BEV-0153,"Portable Mineral Water 0153",Beverages,"ProMax portable mineral water for professional use","mineral-water,beverages",false,true,637,false,true,
,COR-SNA-0154,"Premium Granola Bar 0154",Snacks,"CoreTech premium granola bar for professional use","granola-bar,snacks",false,true,371,false,true,
,COR-TOO-0155,"Industrial Wrench 0155",Tools & Hardware,"CoreTech industrial wrench for professional use","wrench,tools-&-hardware",false,false,,false,true,
,COR-POW-0156,"Industrial Jigsaw 0156",Power Tools,"CoreTech industrial jigsaw for professional use","jigsaw,power-tools",false,false,,false,true,
,PRO-SAF-0157,"Smart Hi-Vis Vest 0157",Safety Equipment,"ProMax smart hi-vis vest for professional use","hi-vis-vest,safety-equipment",false,false,,false,true,
,MAX-MED-0158,"Standard Thermometer 0158",Medical Supplies,"MaxValue standard thermometer for professional use","thermometer,medical-supplies",false,true,404,false,true,
,COR-CLE-0159,"Smart Glass Cleaner 0159",Cleaning Products,"CoreTech smart glass cleaner for professional use","glass-cleaner,cleaning-products",false,false,,true,true,
,SMA-AUT-0160,"Eco-friendly Tyre Gauge 0160",Automotive,"SmartChoice eco-friendly tyre gauge for professional use","tyre-gauge,automotive",false,false,,true,true,
,PRO-ELE-0161,"Eco-friendly Sensor 0161",Electronics,"ProMax eco-friendly sensor for professional use","sensor,electronics",false,false,,false,true,
,PRO-COM-0162,"Ultra Desktop PC 0162",Computers & Laptops,"ProMax ultra desktop pc for professional use","desktop-pc,computers-&-laptops",false,false,,false,true,
,SMA-SMA-0163,"Professional Case 0163",Smartphones,"SmartChoice professional case for professional use","case,smartphones",false,false,,false,true,
,ELI-AUD-0164,"Premium Webcam 0164",Audio & Video,"EliteBrand premium webcam for professional use","webcam,audio-&-video",false,false,,false,true,
,QUI-NET-0165,"Premium SFP Module 0165",Networking,"QuickSupply premium sfp module for professional use","sfp-module,networking",false,false,,false,true,
,MAX-OFF-0166,"Digital Scissors 0166",Office Supplies,"MaxValue digital scissors for professional use","scissors,office-supplies",false,false,,false,true,
,QUI-PRI-0167,"High-performance Fuser Kit 0167",Printers & Ink,"QuickSupply high-performance fuser kit for professional use","fuser-kit,printers-&-ink",false,false,,false,true,
,TEC-FUR-0168,"Heavy Duty Whiteboard 0168",Furniture,"TechPro heavy duty whiteboard for professional use","whiteboard,furniture",false,false,,false,true,
,ELI-CLO-0169,"Advanced T-Shirt 0169",Clothing & Apparel,"EliteBrand advanced t-shirt for professional use","t-shirt,clothing-&-apparel",false,false,,false,true,
,GLO-MEN-0170,"Heavy Duty Men Suit 0170",Men's Clothing,"GlobalMart heavy duty men suit for professional use","men-suit,men's-clothing",false,false,,false,true,
,COR-WOM-0171,"Ultra Women Skirt 0171",Women's Clothing,"CoreTech ultra women skirt for professional use","women-skirt,women's-clothing",false,false,,false,true,
,PRO-FOO-0172,"Advanced Cereal Box 0172",Food & Beverages,"ProMax advanced cereal box for professional use","cereal-box,food-&-beverages",false,true,173,false,true,
,PRO-BEV-0173,"Standard Energy Drink 0173",Beverages,"ProMax standard energy drink for professional use","energy-drink,beverages",false,true,254,false,true,
,PRI-SNA-0174,"Eco-friendly Popcorn 0174",Snacks,"PrimeParts eco-friendly popcorn for professional use","popcorn,snacks",false,true,120,false,true,
,TEC-TOO-0175,"Industrial Utility Knife 0175",Tools & Hardware,"TechPro industrial utility knife for professional use","utility-knife,tools-&-hardware",false,false,,false,true,
,GLO-POW-0176,"Ultra Air Compressor 0176",Power Tools,"GlobalMart ultra air compressor for professional use","air-compressor,power-tools",false,false,,false,true,
,PRO-SAF-0177,"Compact Safety Helmet 0177",Safety Equipment,"ProMax compact safety helmet for professional use","safety-helmet,safety-equipment",false,false,,false,true,
,SMA-MED-0178,"Digital Face Mask 0178",Medical Supplies,"SmartChoice digital face mask for professional use","face-mask,medical-supplies",false,true,319,false,true,
,PRO-CLE-0179,"Compact Mop Set 0179",Cleaning Products,"ProMax compact mop set for professional use","mop-set,cleaning-products",false,false,,true,true,
,ELI-AUT-0180,"Compact Brake Pads 0180",Automotive,"EliteBrand compact brake pads for professional use","brake-pads,automotive",false,false,,true,true,
,UNI-ELE-0181,"Portable Cable 0181",Electronics,"UniSupply portable cable for professional use","cable,electronics",false,false,,false,true,
,ELI-COM-0182,"Ultra USB Hub 0182",Computers & Laptops,"EliteBrand ultra usb hub for professional use","usb-hub,computers-&-laptops",false,false,,false,true,
,UNI-SMA-0183,"Ultra Power Bank 0183",Smartphones,"UniSupply ultra power bank for professional use","power-bank,smartphones",false,false,,false,true,
,GLO-AUD-0184,"Wireless Mixer 0184",Audio & Video,"GlobalMart wireless mixer for professional use","mixer,audio-&-video",false,false,,false,true,
,TEC-NET-0185,"High-performance Router 0185",Networking,"TechPro high-performance router for professional use","router,networking",false,false,,false,true,
,GLO-OFF-0186,"Compact Pen Set 0186",Office Supplies,"GlobalMart compact pen set for professional use","pen-set,office-supplies",false,false,,false,true,
,TEC-PRI-0187,"Ultra Printer Paper 0187",Printers & Ink,"TechPro ultra printer paper for professional use","printer-paper,printers-&-ink",false,false,,false,true,
,GLO-FUR-0188,"Premium Filing Cabinet 0188",Furniture,"GlobalMart premium filing cabinet for professional use","filing-cabinet,furniture",false,false,,false,true,
